Vehicle Make Year,Vehicle Make,Vehicle Model,Claim Reg Date,Accident Place,Operation Assign Date,Portal_OtherAmt,Portal_PartProviderAmt,Portal_WorkShopAmt,Total
2019,DODGE,CHARGER,02/08/2023 3:00,Abha,03/08/2023 3:00,366,2000,588,2954
2023,Mahindra,Scorpio DC,14/06/2023 3:00,Abha,22/08/2023 3:00,494,3287,738,4519
2022,HYUNDAI,ACCENT,03/10/2023 3:00,Abha,10/10/2023 3:00,0,10196,7000,17196
2021,BUS,CS 75,15/10/2023 3:00,Abha,16/10/2023 3:00,0,9262,1600,10862
2021,MAZDA,CX 9,17/09/2023 3:00,Abha,17/10/2023 3:00,0,4300,4000,8300
2021,HYUNDAI,ELANTRA,01/11/2023 3:00,Abha,05/11/2023 3:00,0,1959,2000,3959
2023,MAZDA,6 High Plus,28/09/2023 3:00,Abha,08/11/2023 3:00,0,5534,2200,7734
2022,MG,T60,09/11/2023 3:00,Abha,12/11/2023 3:00,0,15264,2500,17764
2018,TOYOTA,Camry 2.5l RZ,24/09/2023 3:00,Abha,15/11/2023 3:00,426,1524,576,2526
2021,Changan,CS35,21/11/2023 3:00,Abha,26/11/2023 3:00,0,400,3000,3400
2023,HYUNDAI,Kona,23/11/2023 3:00,Abha,26/11/2023 3:00,0,299,2000,2299
2022,TOYOTA,CAMRY,10/10/2023 3:00,Abha,28/11/2023 3:00,800,10950,4000,15750
2023,KIA,K5,27/11/2023 3:00,Abha,28/11/2023 3:00,0,3058,800,3858
2020,TOYOTA,FORTUNER,29/11/2023 3:00,Abha,30/11/2023 3:00,487,1770,642,2899
2020,HYUNDAI,ELANTRA,04/12/2023 3:00,Abha,05/12/2023 3:00,0,1925,1402,3327
2020,HYUNDAI,Kona,05/12/2023 3:00,Abha,06/12/2023 3:00,0,5834,2800,8634
2024,HYUNDAI,ACCENT,09/12/2023 3:00,Abha,10/12/2023 3:00,0,3806,1500,5306
2022,HYUNDAI,Creta,11/12/2023 3:00,Abha,11/12/2023 3:00,0,6941,1800,8741
2023,TOYOTA,HILUX,12/12/2023 3:00,Abha,13/12/2023 3:00,200,6680,1800,8680
2019,HYUNDAI,ELANTRA,19/12/2023 3:00,Abha,20/12/2023 3:00,0,205,1500,1705
2022,CHEVROLET,TRAVERSE,19/12/2023 3:00,Abha,20/12/2023 3:00,0,367,1000,1367
