,Vehicle Make Year,Vehicle Make,Vehicle Model,Claim Reg Date,Accident Place,Operation Assign Date,Portal_OtherAmt,Portal_PartProviderAmt,Portal_WorkShopAmt,Total,TimeDifference,Other_Amt_Class,WorkShop_Amt_Class,Time_Diff_Class,PartProvider_Amt_Class,Total_Class
0,2019,DODGE,CHARGER,2023-08-02,Abha,2023-08-03,366,2000.0,588.0,2954.0,1,Class 2,Class 2,Class 2,Class 2,Class 2
1,2023,Mahindra,Scorpio DC,2023-06-14,Abha,2023-08-22,494,3287.0,738.0,4519.0,69,Class 2,Class 2,Class 3,Class 2,Class 2
2,2022,HYUNDAI,ACCENT,2023-10-03,Abha,2023-10-10,0,10196.0,7000.0,17196.0,7,Class 1,Class 2,Class 2,Class 2,Class 2
3,2021,BUS,CS 75,2023-10-15,Abha,2023-10-16,0,9262.0,1600.0,10862.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
4,2021,MAZDA,CX 9,2023-09-17,Abha,2023-10-17,0,4300.0,4000.0,8300.0,30,Class 1,Class 2,Class 3,Class 2,Class 2
5,2021,HYUNDAI,ELANTRA,2023-11-01,Abha,2023-11-05,0,1959.0,2000.0,3959.0,4,Class 1,Class 2,Class 2,Class 2,Class 2
6,2023,MAZDA,6 High Plus,2023-09-28,Abha,2023-11-08,0,5534.0,2200.0,7734.0,41,Class 1,Class 2,Class 3,Class 2,Class 2
7,2022,MG,T60,2023-11-09,Abha,2023-11-12,0,15264.0,2500.0,17764.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
8,2018,TOYOTA,Camry 2.5l RZ,2023-09-24,Abha,2023-11-15,426,1524.0,576.0,2526.0,52,Class 2,Class 2,Class 3,Class 2,Class 2
9,2021,Changan,CS35,2023-11-21,Abha,2023-11-26,0,400.0,3000.0,3400.0,5,Class 1,Class 2,Class 2,Class 2,Class 2
10,2023,HYUNDAI,Kona,2023-11-23,Abha,2023-11-26,0,299.0,2000.0,2299.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
11,2022,TOYOTA,CAMRY,2023-10-10,Abha,2023-11-28,800,10950.0,4000.0,15750.0,49,Class 2,Class 2,Class 3,Class 2,Class 2
12,2023,KIA,K5,2023-11-27,Abha,2023-11-28,0,3058.0,800.0,3858.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
13,2020,TOYOTA,FORTUNER,2023-11-29,Abha,2023-11-30,487,1770.0,642.0,2899.0,1,Class 2,Class 2,Class 2,Class 2,Class 2
14,2020,HYUNDAI,ELANTRA,2023-12-04,Abha,2023-12-05,0,1925.0,1402.0,3327.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
